,tweet_id,text,query,user_id,user_name,follower_count,user_tweet_count,likes,retweets,location_name,latitude,longitude,user_location,date
2486,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,18374043,,304,18526,0,26893,,NA,NA,,1/6/21
2487,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,2392160150,,20,6517,0,26893,,NA,NA,,1/6/21
2488,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,9.38E+17,,248,7273,0,26893,,NA,NA,MA,1/6/21
2489,1.35E+18,rep adam kinzinger r now calling the president a coward on cnn he calls the insurrection a coup,president,3798798554,,35,11223,0,228,,NA,NA,,1/6/21
2490,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,7.88E+17,,3011,14227,0,26893,,NA,NA,,1/6/21
2491,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,4781485597,,20,523,0,26893,,NA,NA,PA,1/6/21
2492,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,1428670154,,210,9516,0,2885,,NA,NA,,1/6/21
2493,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,1.28E+18,,0,30,0,26893,,NA,NA,VA,1/6/21
2494,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,13612712,,486,39418,0,26893,,NA,NA,CA,1/6/21
2495,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,1545901908,,310,63912,0,26893,,NA,NA,,1/6/21
2496,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,1.04E+18,,85,21094,0,26893,,NA,NA,,1/6/21
2497,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,1.04E+18,,25,16957,0,2885,,NA,NA,,1/6/21
2498,1.35E+18,president trump accused of causing this insurrection,president,1.00E+18,,1758,44059,0,40,,NA,NA,,1/6/21
2499,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,21667795,,282,33737,0,26893,,NA,NA,HI,1/6/21
2500,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,756913038,,308,80375,0,26893,,NA,NA,,1/6/21
2501,1.35E+18,happening where leaders country were conducting appropriate transfer of power just couple hours ago our president incited a mob to raid the halls of our democracy trump said he would walk with them this would be what a coup insurrection if not usa wed be calling it that,president,8.27E+17,,1027,83751,0,223,,NA,NA,WA,1/6/21
2502,1.35E+18,rep adam kinzinger r now calling the president a coward on cnn he calls the insurrection a coup,president,80092347,,143,4688,0,228,,NA,NA,,1/6/21
2503,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,1322880818,,760,72371,0,26893,,NA,NA,WA,1/6/21
2504,1.35E+18,many of us come from families who fled other countries where scenes like this were the norm but not in america never in america unthinkable until now these people arent protestors they are engaged in an insurrection incited by a lawless president,president,4466317715,,19,860,0,1744,,NA,NA,,1/6/21
2505,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,18511698,,1182,56006,0,26893,,NA,NA,,1/6/21
2506,1.35E+18,the president caused this insurrection with his call for an unpermitted illegal march on the capitol this is a coup and the cabinet should remove the president immediately,president,615252904,,222,32852,0,137,,NA,NA,CA,1/6/21
2507,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,101889708,mike dailly,11872,86926,0,2590,,NA,NA,,1/6/21
2508,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,7.53E+17,,522,124531,0,2885,,NA,NA,,1/6/21
2509,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,486028131,,6,2984,0,26893,,NA,NA,NJ,1/6/21
2510,1.35E+18,jake tapper just called this an armed insurrection an attempted coup by president trump and his supporters,president,20919626,angus johnston,69057,151566,507,122,,NA,NA,NY,1/6/21
2511,1.35E+18,many of us come from families who fled other countries where scenes like this were the norm but not in america never in america unthinkable until now these people arent protestors they are engaged in an insurrection incited by a lawless president,president,250411940,,66,58,0,1744,,NA,NA,,1/6/21
2512,1.35E+18,cnn calling it an insurrection led by president trump and his supporters its certainly looking like one of those colour revolutions in ukraine,president,90219306,,20331,57003,10,3,,NA,NA,,1/6/21
